hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,342,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,C,C,3,No Deposit,NULL,Transient,0,0,0,Check-Out,7/1/2015
Resort Hotel,0,737,2015,July,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,C,C,4,No Deposit,NULL,Transient,0,0,0,Check-Out,7/1/2015
Resort Hotel,0,7,2015,July,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,A,C,0,No Deposit,NULL,Transient,75,0,0,Check-Out,7/2/2015
Resort Hotel,0,13,2015,July,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,A,A,0,No Deposit,304,Transient,75,0,0,Check-Out,7/2/2015
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,240,Transient,98,0,1,Check-Out,7/3/2015
Resort Hotel,0,14,2015,July,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,240,Transient,98,0,1,Check-Out,7/3/2015
Resort Hotel,0,0,2015,July,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,C,C,0,No Deposit,NULL,Transient,107,0,0,Check-Out,7/3/2015
Resort Hotel,0,9,2015,July,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,C,C,0,No Deposit,303,Transient,103,0,1,Check-Out,7/3/2015
Resort Hotel,1,85,2015,July,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,240,Transient,82,0,1,Canceled,5/6/2015
Resort Hotel,1,75,2015,July,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,15,Transient,105.5,0,0,Canceled,4/22/2015
Resort Hotel,1,23,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,240,Transient,123,0,0,Canceled,6/23/2015
Resort Hotel,0,35,2015,July,27,1,0,4,2,0,0,HB,PRT,Online TA,TA/TO,D,D,0,No Deposit,240,Transient,145,0,0,Check-Out,7/5/2015
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,USA,Online TA,TA/TO,D,E,0,No Deposit,240,Transient,97,0,3,Check-Out,7/5/2015
Resort Hotel,0,18,2015,July,27,1,0,4,2,1,0,HB,ESP,Online TA,TA/TO,G,G,1,No Deposit,241,Transient,154.77,0,1,Check-Out,7/5/2015
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,241,Transient,94.71,0,0,Check-Out,7/5/2015
Resort Hotel,0,68,2015,July,27,1,0,4,2,0,0,BB,IRL,Online TA,TA/TO,D,E,0,No Deposit,240,Transient,97,0,3,Check-Out,7/5/2015
Resort Hotel,0,37,2015,July,27,1,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,E,E,0,No Deposit,8,Contract,97.5,0,0,Check-Out,7/5/2015
Resort Hotel,0,12,2015,July,27,1,0,1,2,0,0,BB,IRL,Online TA,TA/TO,A,E,0,No Deposit,240,Transient,88.2,0,0,Check-Out,7/2/2015
Resort Hotel,0,0,2015,July,27,1,0,1,2,0,0,BB,FRA,Corporate,Corporate,A,G,0,No Deposit,NULL,Transient,107.42,0,0,Check-Out,7/2/2015
Resort Hotel,0,7,2015,July,27,1,0,4,2,0,0,BB,GBR,Direct,Direct,G,G,0,No Deposit,250,Transient,153,0,1,Check-Out,7/5/2015
Resort Hotel,0,37,2015,July,27,1,1,4,1,0,0,BB,GBR,Online TA,TA/TO,F,F,0,No Deposit,241,Transient,97.29,0,1,Check-Out,7/6/2015
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,A,A,1,No Deposit,250,Transient,84.67,0,1,Check-Out,7/7/2015
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,A,A,1,No Deposit,250,Transient,84.67,0,1,Check-Out,7/7/2015
Resort Hotel,0,72,2015,July,27,1,2,4,2,0,0,BB,PRT,Direct,Direct,D,D,1,No Deposit,250,Transient,99.67,0,1,Check-Out,7/7/2015
Resort Hotel,0,127,2015,July,27,1,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,D,I,0,No Deposit,115,Contract,94.95,0,1,Check-Out,7/1/2015
Resort Hotel,0,78,2015,July,27,1,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,D,D,0,No Deposit,5,Transient,63.6,1,0,Check-Out,7/8/2015
Resort Hotel,0,48,2015,July,27,1,2,5,2,0,0,BB,IRL,Offline TA/TO,TA/TO,D,D,0,No Deposit,8,Contract,79.5,0,0,Check-Out,7/8/2015
Resort Hotel,1,60,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,E,E,0,No Deposit,240,Transient,107,0,2,Canceled,5/11/2015
Resort Hotel,0,77,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,240,Transient,94,0,0,Check-Out,7/8/2015
Resort Hotel,0,99,2015,July,27,1,2,5,2,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,240,Transient,87.3,1,1,Check-Out,7/8/2015
Resort Hotel,0,118,2015,July,27,1,4,10,1,0,0,BB,NULL,Direct,Direct,A,A,2,No Deposit,NULL,Transient,62,0,2,Check-Out,7/15/2015
Resort Hotel,0,95,2015,July,27,1,4,11,2,0,0,BB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,241,Transient,63.86,0,0,Check-Out,7/16/2015
Resort Hotel,1,96,2015,July,27,1,2,8,2,0,0,BB,PRT,Direct,Direct,E,E,0,No Deposit,NULL,Transient,108.3,0,2,Canceled,5/29/2015
Resort Hotel,0,69,2015,July,27,2,2,4,2,0,0,BB,IRL,Offline TA/TO,TA/TO,A,C,0,No Deposit,175,Transient,65.5,0,0,Check-Out,7/8/2015
Resort Hotel,1,45,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,241,Transient,108.8,0,1,Canceled,5/19/2015
Resort Hotel,1,40,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,241,Transient,108.8,0,1,Canceled,6/19/2015
Resort Hotel,0,15,2015,July,27,2,1,3,2,0,0,BB,ESP,Online TA,TA/TO,A,C,0,No Deposit,240,Transient,98,0,0,Check-Out,7/6/2015
Resort Hotel,0,36,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,241,Transient,108.8,0,1,Check-Out,7/6/2015
Resort Hotel,1,43,2015,July,27,2,1,3,3,0,0,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,241,Transient,108.8,0,0,Canceled,5/23/2015
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,E,E,0,No Deposit,250,Transient,137,0,1,Check-Out,7/7/2015
Resort Hotel,1,45,2015,July,27,2,2,3,2,0,0,BB,PRT,Online TA,TA/TO,G,G,0,No Deposit,241,Transient,117.81,0,0,Canceled,5/18/2015
Resort Hotel,0,45,2015,July,27,2,2,3,2,0,0,BB,IRL,Offline TA/TO,TA/TO,D,D,0,No Deposit,8,Contract,79.5,0,0,Check-Out,7/7/2015
Resort Hotel,0,16,2015,July,27,2,2,3,2,0,0,BB,ESP,Direct,Direct,F,F,0,No Deposit,NULL,Transient,123,0,0,Check-Out,7/7/2015
Resort Hotel,0,70,2015,July,27,2,2,3,2,0,0,HB,ROU,Direct,Direct,E,E,0,No Deposit,250,Transient,137,0,1,Check-Out,7/7/2015
Resort Hotel,0,107,2015,July,27,2,2,5,2,0,0,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,240,Transient,110.7,0,2,Check-Out,7/9/2015
Resort Hotel,1,47,2015,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,G,G,0,No Deposit,240,Transient,153,0,0,Canceled,6/2/2015
Resort Hotel,0,96,2015,July,27,2,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,A,A,0,No Deposit,134,Transient,58.95,0,1,Check-Out,7/9/2015
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,E,E,0,No Deposit,156,Transient-Party,82.88,0,2,Check-Out,7/9/2015
Resort Hotel,0,90,2015,July,27,2,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,A,B,1,No Deposit,243,Contract,82.35,0,0,Check-Out,7/9/2015
Resort Hotel,0,50,2015,July,27,2,2,5,2,0,0,HB,IRL,Online TA,TA/TO,E,F,1,No Deposit,241,Transient,119.35,0,1,Check-Out,7/9/2015
Resort Hotel,0,113,2015,July,27,2,2,5,2,0,0,BB,NOR,Offline TA/TO,TA/TO,D,D,0,No Deposit,156,Transient-Party,67.58,0,2,Check-Out,7/9/2015
Resort Hotel,0,93,2015,July,27,2,3,8,2,0,0,BB,IRL,Offline TA/TO,TA/TO,A,A,0,No Deposit,156,Contract,56.01,0,0,Check-Out,7/13/2015
Resort Hotel,0,76,2015,July,27,2,4,10,2,0,0,BB,OMN,Offline TA/TO,TA/TO,D,D,0,No Deposit,243,Contract,110.7,0,0,Check-Out,7/16/2015
Resort Hotel,0,3,2015,July,27,2,0,1,2,0,0,BB,ESP,Online TA,TA/TO,A,C,0,No Deposit,240,Transient,88.2,1,0,Check-Out,7/3/2015
Resort Hotel,0,1,2015,July,27,2,0,1,2,0,0,BB,ARG,Online TA,TA/TO,H,H,0,No Deposit,240,Transient,147,1,0,Check-Out,7/3/2015
Resort Hotel,0,1,2015,July,27,2,0,1,2,2,0,BB,ESP,Direct,Direct,C,C,0,No Deposit,NULL,Transient,107,1,2,Check-Out,7/3/2015
