@RELATION hotel_bookings

@ATTRIBUTE Unnamed: 0 NUMERIC
@ATTRIBUTE hotel NUMERIC
@ATTRIBUTE is_canceled NUMERIC
@ATTRIBUTE lead_time NUMERIC
@ATTRIBUTE arrival_date_year NUMERIC
@ATTRIBUTE arrival_date_month NUMERIC
@ATTRIBUTE arrival_date_week_number NUMERIC
@ATTRIBUTE arrival_date_day_of_month NUMERIC
@ATTRIBUTE stays_in_weekend_nights NUMERIC
@ATTRIBUTE stays_in_week_nights NUMERIC
@ATTRIBUTE adults NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE babies NUMERIC
@ATTRIBUTE meal NUMERIC
@ATTRIBUTE country NUMERIC
@ATTRIBUTE market_segment NUMERIC
@ATTRIBUTE distribution_channel NUMERIC
@ATTRIBUTE reserved_room_type NUMERIC
@ATTRIBUTE assigned_room_type NUMERIC
@ATTRIBUTE booking_changes NUMERIC
@ATTRIBUTE deposit_type NUMERIC
@ATTRIBUTE agent NUMERIC
@ATTRIBUTE customer_type NUMERIC
@ATTRIBUTE adr NUMERIC
@ATTRIBUTE required_car_parking_spaces NUMERIC
@ATTRIBUTE total_of_special_requests NUMERIC
@ATTRIBUTE reservation_status NUMERIC
@ATTRIBUTE reservation_status_date NUMERIC

@DATA
0.0,0.0,0.0,342.0,2015.0,1.0,27.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,2.0,1.0,1.0,2.0,3.0,0.0,240.0,2.0,0.0,0.0,0.0,1.0,60.0
1.0,0.0,0.0,737.0,2015.0,1.0,27.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,28.0,2.0,1.0,1.0,2.0,4.0,0.0,240.0,2.0,0.0,0.0,0.0,1.0,60.0
2.0,0.0,0.0,7.0,2015.0,1.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,2.0,1.0,0.0,2.0,0.0,0.0,240.0,2.0,75.0,0.0,0.0,1.0,71.0
3.0,0.0,0.0,13.0,2015.0,1.0,27.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,304.0,2.0,75.0,0.0,0.0,1.0,71.0
4.0,0.0,0.0,14.0,2015.0,1.0,27.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,16.0,5.0,2.0,0.0,0.0,0.0,0.0,240.0,2.0,98.0,0.0,1.0,1.0,82.0
6.0,0.0,0.0,0.0,2015.0,1.0,27.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,28.0,2.0,1.0,1.0,2.0,0.0,0.0,240.0,2.0,107.0,0.0,0.0,1.0,82.0
7.0,0.0,0.0,9.0,2015.0,1.0,27.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,28.0,2.0,1.0,1.0,2.0,0.0,0.0,303.0,2.0,103.0,0.0,1.0,1.0,82.0
8.0,0.0,1.0,85.0,2015.0,1.0,27.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,28.0,5.0,2.0,0.0,0.0,0.0,0.0,240.0,2.0,82.0,0.0,1.0,0.0,33.0
9.0,0.0,1.0,75.0,2015.0,1.0,27.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,28.0,4.0,2.0,2.0,3.0,0.0,0.0,15.0,2.0,105.5,0.0,0.0,0.0,9.0
10.0,0.0,1.0,23.0,2015.0,1.0,27.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,28.0,5.0,2.0,3.0,4.0,0.0,0.0,240.0,2.0,123.0,0.0,0.0,0.0,47.0
